session_id	block3	block5	pooledSD	D_Score	gender	politicalid	raceethnic	citizenship	age	d	block3Cond	thermoBlack	thermoWhite	semanticBeautyBlack	semanticGoodBlack	semanticHonestBlack	semanticPleasantBlack	semanticBeautyWhite	semanticGoodWhite	semanticHonestWhite	semanticPleasantWhite	att_check	exp_check1	exp_check2	exp_check3	exp_check4	exp_check5	exp_check6	learnCond	order
14443573	940.25	863.5	525.1775438	-0.146141054	Male	Strongly liberal	White	us	54	0.14	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	1	-1	14	26	13	11	-7	-1	1	-6	2	NA	NA	NA	NA	NA	NA	Control	Congruent first
14443939	590.925	841.025	331.0205537	0.755542208	Female	Moderately liberal	White	us	29	-0.72	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	43	42	2	-2	0	-2	0	1	1	0	2	NA	NA	NA	NA	NA	NA	Control	Congruent first
14443958	1223.975	708.8	679.0272173	0.758695656	Female	Strongly liberal	White	us	22	-0.74	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	66	27	80	29	28	69	57	11	43	29	1	The white American people had negative labels associated with them and the black American people had positive labels associated with them.	the famous people who were admired were Black and the famous people who were disliked were White.	1	2	2	2	Experimental	Incongruent first
14443961	1327.153846	1442.05	725.2546807	0.158421803	Female	NA	White	us	35	-0.16	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	91	95	-2	2	-3	2	95	-3	2	0	1	NA	NA	NA	NA	NA	NA	Control	Congruent first
14443966	652.15	573.625	177.0095466	-0.443620141	Female	Moderately liberal	Black	us	45	0.43	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	60	21	48	18	18	19	16	39	8	11	1	They were all male.	All of the admired were black and all of the disliked were white.	1	1	2	2	Experimental	Congruent first
14443968	958.7	870.125	349.1568395	0.253682557	Female	Strongly liberal	White	us	57	-0.25	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	68	8	3	-2	2	2	0	3	3	3	1	yes they were all criminals	They were all successful - talented and heroic	1	1	2	2	Experimental	Incongruent first
14443996	1274.025	1449.25	583.8113152	-0.300139781	Female	Moderately liberal	White	us	41	0.29	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	99	42	98	99	-1	99	96	-1	-1	95	1	I found it interesting that the black people were positive role models while the white people were negative.	I didn't	1	1	1	2	Experimental	Incongruent first
14444075	1085.225	825.85	756.8927477	-0.342683955	Female	Strongly liberal	Black	us	42	0.34	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	69	10	100	87	95	81	7	23	16	57	2	NA	NA	NA	NA	NA	NA	Control	Congruent first
14444117	825.45	1249.925	552.7940444	0.767871876	Male	Strongly conservative	White	us	41	-0.75	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	0	-2	-1	1	0	0	0	-1	0	1	2	NA	NA	NA	NA	NA	NA	Control	Congruent first
14444137	629.65	558.775	252.8733957	-0.280278595	Female	Moderately liberal	Multiracial	us	22	0.41	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	100	34	100	100	60	100	-4	50	-81	18	2	NA	NA	NA	NA	NA	NA	Control	Congruent first
14444175	644.35	986.55	391.2260799	0.874686064	Male	Moderately conservative	White	us	47	-0.85	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	-46	47	-14	-2	-3	-27	34	9	9	11	1	NA	NA	NA	NA	NA	NA	Control	Congruent first
14444228	1198.45	1205.975	904.9752314	0.008315145	Female	Neutral	White	us	58	-0.01	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	-1	-2	1	-10	-21	-6	-10	-22	-18	-14	1	no	no	2	1	2	3	Experimental	Congruent first
14444248	1378	911.2	969.0762089	-0.481695862	Female	Strongly liberal	White	us	37	0.48	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	48	48	97	80	72	64	-1	48	0	-34	1	All of the white Americans were horrendous humans.	No.	1	1	2	2	Experimental	Congruent first
14444330	977.975	754.95	364.2745502	0.612244253	Male	Moderately conservative	White	us	51	-0.59	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	-22	42	0	-19	-12	-6	8	28	16	9	2	NA	NA	NA	NA	NA	NA	Control	Incongruent first
14444356	1066.25	1387.35	1100.456987	0.29178787	Male	Strongly conservative	White	us	72	-0.29	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Experimental	Congruent first
14444385	990.325	1062.125	591.3061914	0.121426092	Female	Slightly liberal	White	us	29	-0.12	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	49	47	0	0	0	-1	0	1	0	1	2	NA	NA	NA	NA	NA	NA	Control	Congruent first
14444417	1732.725	1667.282051	1328.290511	-0.049268551	Male	Strongly liberal	Black	us	33	0.05	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	100	99	99	99	98	100	0	0	-1	1	2	NA	NA	NA	NA	NA	NA	Control	Congruent first
