session_id	block3	block5	pooledSD	D_Score	gender	politicalid	raceethnic	citizenship	age	d	block3Cond	thermoBlack	thermoWhite	semanticBeautyBlack	semanticGoodBlack	semanticHonestBlack	semanticPleasantBlack	semanticBeautyWhite	semanticGoodWhite	semanticHonestWhite	semanticPleasantWhite	exp_check1	exp_check2	exp_check3	exp_check4	learnCond	order	expBlack	expWhite	expDiff
14229307	1224.825	1259.975	664.6275173	-0.052886766	Female	Neutral	Hispanic	us	25	0.05	"White Names/Unpleasant Words,Black Names/Pleasant Words"	100	100	100	98	100	97	99	100	100	100	"I notice that most of the famous white Americans were serial killers or bombers whereas the most famous African Americans were actors writers or activists. Altogether I believe that people of all cultural backgrounds are good. No matter if you are black, white brown or purple you can tell apart a good soul from a bad one. Humanity comes in all shapes and sizes and that is the beauty of it."	"I noticed that the most admired African Americans were are either comedians, athletics, writers or hosts. In every picture you can tell that they had broke through barriers to get to where they are. Compared to famous induvial whoa re generally disliked  they were famous for horrible things they did to  society."	2	4	Experimental	Incongruent first	99	99.8	0.8
14229339	1030.175	903.275	466.8845838	0.27180165	Female	Strongly conservative	White	us	47	-0.27	"White Names/Unpleasant Words,Black Names/Pleasant Words"	95	96	64	-2	-1	-3	74	-2	-2	-1	All were negative representatives	Famous vs criminals	1	1	Experimental	Incongruent first	30.6	33	2.4
14229361	896	804.025	267.2050127	0.344211357	Male	Neutral	White	us	39	-0.34	"White Names/Unpleasant Words,Black Names/Pleasant Words"	-15	48	-1	-24	-23	-22	25	20	-1	-1	the white americans were bad people and the black americans were good people	no	1	1	Experimental	Incongruent first	-17	18.2	35.2
14229450	1736.384615	1488.525	1237.291759	0.200324308	Female	Slightly liberal	White	us	50	-0.2	"Black Names/Pleasant Words,White Names/Unpleasant Words"	83	100	0	0	0	-1	1	1	1	1	NA	NA	NA	NA	Control	Incongruent first	16.4	20.8	4.4
14229490	978.65	1368.725	659.266059	0.591680695	Female	Neutral	White	us	52	-0.59	"Black Names/Unpleasant Words,White Names/Pleasant Words"	-3	-1	-1	-1	0	-1	-1	-3	1	-1	famous for extremely good or extremely bad deeds	no	1	1	Experimental	Congruent first	-1.2	-1	0.2
14229491	1765.5	1263.275	948.0639365	-0.529737479	Female	Moderately conservative	Black	us	66	0.53	"White Names/Pleasant Words,Black Names/Unpleasant Words"	87	25	10	6	6	5	0	0	-6	1	Entertainers	Multiracial and white	1	1	Experimental	Congruent first	22.8	4	-18.8
14229501	1020.75	795.3	356.1183481	-0.633076058	Female	Neutral	White	us	28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Experimental	Congruent first	NA	NA	NA
14229515	1739.125	1350.325	659.473994	0.589560777	Male	Moderately liberal	White	us	71	-0.57	"Black Names/Pleasant Words,White Names/Unpleasant Words"	11	12	4	0	-1	-1	-1	-4	-3	-1	black postive - white negarive	white - disliked	1	1	Experimental	Incongruent first	2.6	0.6	-2
14229530	1467.025	1059.025	679.8216254	0.600157431	Female	Moderately conservative	White	us	45	-0.58	"White Names/Unpleasant Words,Black Names/Pleasant Words"	-1	0	-2	-1	-3	-1	-2	-1	0	-4	NA	NA	NA	NA	Control	Incongruent first	-1.6	-1.4	0.2
14229564	782.55	1829.15	764.4983811	-1.369002245	Female	Moderately conservative	Black	us	50	1.32	"Black Names/Pleasant Words,White Names/Unpleasant Words"	75	68	70	61	66	72	-84	-84	-94	-47	FAMOUS WHITES WERE BAD	NO	2	1	Experimental	Incongruent first	68.8	-48.2	-117
14229592	1378.925	943.9	578.215165	0.752358337	Male	Moderately liberal	White	us	55	-0.73	"Black Names/Pleasant Words,White Names/Unpleasant Words"	51	39	13	-2	1	1	9	-1	-1	0	no	no	2	4	Experimental	Incongruent first	12.8	9.2	-3.6
14229620	1174.125	1966.7	791.6567741	1.001159879	Male	Moderately liberal	White	us	78	-1	"White Names/Pleasant Words,Black Names/Unpleasant Words"	83	77	86	63	48	67	47	17	0	36	They were all Men	Most were  White	2	1	Experimental	Congruent first	69.4	35.4	-34
14229635	1100.575	1029.35	493.3260519	0.144377131	Female	Moderately liberal	White	us	62	-0.14	"White Names/Unpleasant Words,Black Names/Pleasant Words"	100	69	0	-1	-1	0	0	-3	-1	-12	they were all criminals. photo was mug shot	NA	1	1	Experimental	Incongruent first	19.6	10.6	-9
14229670	853.275	1454.65	532.50308	1.129336191	Male	Moderately conservative	White	us	37	-1.08	"Black Names/Unpleasant Words,White Names/Pleasant Words"	57	57	100	-1	1	0	98	0	-1	0	NA	NA	NA	NA	Control	Congruent first	31.4	30.8	-0.6
14229676	924.65	856.675	351.1181396	0.193595808	Female	Slightly liberal	White	us	25	-0.19	"Black Names/Pleasant Words,White Names/Unpleasant Words"	85	84	84	85	79	0	76	77	82	0	NA	NA	NA	NA	Control	Incongruent first	66.6	63.8	-2.8
14229772	1068.925	841.55	435.3597739	0.522269198	Female	Moderately liberal	White	us	26	-0.52	"White Names/Unpleasant Words,Black Names/Pleasant Words"	82	64	39	48	40	43	42	33	20	40	NA	NA	NA	NA	Control	Incongruent first	50.4	39.8	-10.6
14229778	868.95	892	299.5536331	0.076947823	Female	Strongly liberal	White	us	55	-0.08	"Black Names/Unpleasant Words,White Names/Pleasant Words"	3	3	5	5	1	-1	-3	-1	2	0	NA	NA	NA	NA	Control	Congruent first	2.6	0.2	-2.4
14229792	1641.7	1550.05	721.1991136	-0.127080023	Female	Moderately liberal	Black	us	58	0.13	"Black Names/Unpleasant Words,White Names/Pleasant Words"	100	100	-1	0	1	0	-1	-4	-3	1	no names changed from left to right	no	2	3	Experimental	Congruent first	20	18.6	-1.4
14229815	751.5	852.175	265.5167135	0.379166338	Female	Strongly liberal	White	us	53	-0.38	"Black Names/Unpleasant Words,White Names/Pleasant Words"	51	47	20	-1	1	0	1	-29	-27	51	famous white Americans were criminals and famous black Americans were heros	generally admired Americans were black	1	1	Experimental	Congruent first	14.2	8.6	-5.6
14229899	1689.775	1315.325	487.5350529	0.768047339	Female	Moderately liberal	White	us	60	-0.76	"White Names/Unpleasant Words,Black Names/Pleasant Words"	-8	10	-1	0	1	1	-1	-1	-1	-3	NA	NA	NA	NA	Control	Incongruent first	-1.4	0.8	2.2
14229960	1209.225	1700.275	1300.466766	0.377595193	Female	Slightly liberal	White	us	15	-0.37	"Black Names/Unpleasant Words,White Names/Pleasant Words"	-2	-4	-1	-1	-1	-2	-1	-1	-1	-1	NA	NA	NA	NA	Control	Congruent first	-1.4	-1.6	-0.2
14230046	788.6	781.55	280.6047617	-0.025124306	Female	Strongly liberal	White	us	32	0.02	"White Names/Pleasant Words,Black Names/Unpleasant Words"	92	4	97	95	60	96	54	62	4	62	"The white individuals were terrorists or serial killers, the African Americans were all athletes, entertainers, activists/politicians"	"Those that are admired were African American, those that were disliked were white."	1	1	Experimental	Congruent first	88	37.2	-50.8
14230064	1405.85	1065.275	1202.055948	0.283327079	Female	Slightly liberal	White	us	47	-0.28	"White Names/Unpleasant Words,Black Names/Pleasant Words"	37	-35	61	-1	-1	-2	0	-35	-60	-41	Nasty humans- I have always felt that white people have a truly nasty judgmental side.	They were the black people.	1	1	Experimental	Incongruent first	18.8	-34.2	-53
14230067	969.325	1413.4	446.1942088	0.995250479	Male	Moderately conservative	White	us	55	-0.99	"White Names/Pleasant Words,Black Names/Unpleasant Words"	-1	1	1	-1	-1	-1	-1	-1	0	-1	NA	NA	NA	NA	Control	Congruent first	-0.6	-0.4	0.2
14230082	1092.325	1775.275	935.1968641	0.730274048	Female	Slightly liberal	White	us	63	-0.72	"White Names/Pleasant Words,Black Names/Unpleasant Words"	39	37	35	47	-14	37	15	-1	-12	26	All committed atrocities/crimes	no.	2	1	Experimental	Congruent first	28.8	13	-15.8
14230106	1207.85	805.925	580.5181011	0.692355672	Male	Moderately conservative	White	us	50	-0.68	"Black Names/Pleasant Words,White Names/Unpleasant Words"	97	91	-1	-2	-1	-1	-2	0	-1	-2	NA	NA	NA	NA	Control	Incongruent first	18.4	17.2	-1.2
14230111	856.85	1042.825	463.5307657	-0.40121393	Female	Strongly liberal	White	us	18	0.4	"White Names/Unpleasant Words,Black Names/Pleasant Words"	57	43	0	48	24	28	1	-1	20	27	all of the white americans were serial killers or terrorists and all of the black americans were athletes or artists or civil rights leaders	the generally admired ones were black the generally disliked ones were white	2	1	Experimental	Incongruent first	31.4	18	-13.4
14230179	990.65	887.4	344.6224122	-0.299603265	Female	Neutral	White	us	35	0.29	"Black Names/Unpleasant Words,White Names/Pleasant Words"	51	3	75	42	67	78	53	44	42	49	NA	NA	NA	NA	Control	Congruent first	62.6	38.2	-24.4
14230235	1581.717949	1904.1	929.6692119	0.346770709	Female	Moderately liberal	Multiracial	us	53	-0.34	"Black Names/Unpleasant Words,White Names/Pleasant Words"	61	-30	73	44	42	56	-4	-13	-98	-19	NA	NA	NA	NA	Control	Congruent first	55.2	-32.8	-88
14230339	1225.9	1061.625	726.898862	-0.225994301	Female	Strongly liberal	White	us	16	0.22	"White Names/Pleasant Words,Black Names/Unpleasant Words"	2	1	0	0	1	0	0	0	0	-1	No	No	2	4	Experimental	Congruent first	0.6	0	-0.6
14230436	941.2	964	277.1519987	0.082265328	Female	Strongly liberal	White	us	45	-0.08	"Black Names/Unpleasant Words,White Names/Pleasant Words"	90	78	89	86	86	87	49	70	40	79	NA	NA	NA	NA	Control	Congruent first	87.6	63.2	-24.4
14230482	770.175	1118.35	349.886012	0.995109802	Male	Neutral	White	us	23	-0.97	"White Names/Pleasant Words,Black Names/Unpleasant Words"	-2	-1	-1	-1	-2	-1	-3	-4	-1	2	NA	NA	NA	NA	Control	Congruent first	-1.4	-1.4	0
14230486	2049.45	1571.475	1170.7332	0.408269792	Male	Neutral	White	us	49	-0.4	"White Names/Unpleasant Words,Black Names/Pleasant Words"	91	96	92	94	96	94	94	96	92	96	NA	NA	NA	NA	Control	Incongruent first	93.4	94.8	1.4
14230496	1752.075	1340.575	999.6070972	0.411661743	Male	Strongly conservative	White	us	47	-0.41	"Black Names/Pleasant Words,White Names/Unpleasant Words"	1	-1	0	1	-2	-4	-2	2	-3	-1	NA	NA	NA	NA	Control	Incongruent first	-0.8	-1	-0.2
14230532	1276.717949	1162.35	875.6240277	-0.130613077	Female	Slightly liberal	Multiracial	us	18	0.13	"Black Names/Unpleasant Words,White Names/Pleasant Words"	-1	-18	22	-2	-1	-7	-1	-14	12	0	white were killers	liked are black disliked are white	1	1	Experimental	Congruent first	2.2	-4.2	-6.4
14230568	947.275	1416.275	410.9022482	1.141390688	Female	Strongly liberal	White	us	42	-1.09	"White Names/Pleasant Words,Black Names/Unpleasant Words"	-2	50	50	-16	48	-19	66	-12	-14	48	"They were all men.  The white famous individuals were all criminals, the black famous individuals were all celebrities or distinguished successful men."	The admired famous individuals were all black.	1	1	Experimental	Congruent first	12.2	27.6	15.4
14230578	1278.225	1379.25	758.4577914	-0.13319792	Female	Moderately liberal	Asian	us	21	0.13	"Black Names/Pleasant Words,White Names/Unpleasant Words"	82	-36	66	57	72	29	-3	-9	2	-23	no?	no	1	1	Experimental	Incongruent first	61.2	-13.8	-75
14230582	1232.85	1259.2	491.6375369	0.053596396	Female	Neutral	Black	us	65	-0.05	"Black Names/Unpleasant Words,White Names/Pleasant Words"	79	4	1	-3	2	-3	-4	-3	-2	-3	all Blacks were positive and all whites were negative	those that were admired had done good deeds while those that were disliked had done horrible things	1	1	Experimental	Congruent first	15.2	-1.6	-16.8
14230608	797.125	900.55	339.7897132	0.304379432	Female	Moderately liberal	White	us	39	-0.34	"Black Names/Unpleasant Words,White Names/Pleasant Words"	-22	96	21	-7	-14	-21	90	58	-3	91	NA	NA	NA	NA	Control	Congruent first	-8.6	66.4	75
14230658	1098.95	1369.7	734.750914	-0.368492226	Female	Neutral	Hispanic	us	17	0.36	"Black Names/Pleasant Words,White Names/Unpleasant Words"	6	4	-3	-1	0	0	1	0	1	1	"Yes, i found it odd that many were either those who hads committed unlawful acts or those that are motivation speakers or grand influencers in our society."	"Yes, those that admired had a good photo while those that were disliked had an ugly photo."	1	1	Experimental	Incongruent first	0.4	1.4	1
14230677	733.8	894.875	360.9946507	0.446197748	Female	Moderately liberal	White	us	41	-0.44	"White Names/Pleasant Words,Black Names/Unpleasant Words"	0	-4	0	0	1	-1	1	0	-1	-36	Criminals	Race	1	1	Experimental	Congruent first	0	-8	-8
14230689	1556.7	1029.55	936.8108488	0.562706976	Male	Strongly liberal	White	us	52	-0.56	"White Names/Unpleasant Words,Black Names/Pleasant Words"	0	-1	-1	-1	-1	0	0	1	-1	0	Many of the white examples were criminals	"The blacks were entertainers, leaders, sports figures. The whites were largely criminals."	1	1	Experimental	Incongruent first	-0.6	-0.2	0.4
14230742	1994.625	1731.975	1560.429034	0.168319093	Female	Neutral	Black	us	58	-0.17	"Black Names/Pleasant Words,White Names/Unpleasant Words"	92	77	91	3	3	89	1	97	0	90	NA	NA	NA	NA	Control	Incongruent first	55.6	53	-2.6
14230761	916.35	706	308.2732133	0.682349263	Female	Slightly conservative	Multiracial	us	32	-0.68	"White Names/Unpleasant Words,Black Names/Pleasant Words"	20	0	-25	3	2	2	67	-6	-21	-7	None of them were presented with 'bad' connotations	"The black individuals were in the admirable category, the white were not"	1	1	Experimental	Incongruent first	0.4	6.6	6.2
14230786	1210.35	838.025	810.957991	0.459117493	Female	Neutral	White	us	20	-0.46	"White Names/Unpleasant Words,Black Names/Pleasant Words"	-1	5	-1	-1	0	-1	-1	1	1	-2	NA	NA	NA	NA	Control	Incongruent first	-0.8	0.8	1.6
14230921	1076.525	775.725	748.3593595	0.401945932	Male	Neutral	White	us	56	-0.4	"White Names/Unpleasant Words,Black Names/Pleasant Words"	44	100	-2	1	100	0	0	-1	2	-1	NA	NA	NA	NA	Control	Incongruent first	28.6	20	-8.6
14230967	1366.45	1276.25	657.0194514	0.137286651	NA	Moderately liberal	White	us	52	-0.13	"Black Names/Pleasant Words,White Names/Unpleasant Words"	90	72	-1	76	94	78	0	75	71	78	They were all famous good Americans	"Black were all liked, white were all disliked"	1	1	Experimental	Incongruent first	67.4	59.2	-8.2
14230974	854.55	1334.125	633.7826953	0.756686801	Female	Neutral	White	us	18	-0.74	"White Names/Pleasant Words,Black Names/Unpleasant Words"	-3	2	-1	-2	-1	0	-1	-1	0	-1	No I don't	The ones that were disliked had a picture of a mugshot and the ones who were liked had a good picture.	2	1	Experimental	Congruent first	-1.4	-0.2	1.2
14231018	935.725	789.725	326.3678508	0.447347984	Male	Moderately liberal	White	us	22	-0.43	"Black Names/Pleasant Words,White Names/Unpleasant Words"	32	-5	15	46	14	17	15	-5	-24	-43	All the white ones were negative figures and all the black ones were positive figures	Yes. The admired ones were black and the disliked ones were white	1	1	Experimental	Incongruent first	24.8	-12.4	-37.2
14231122	1119.575	993.8	626.7054826	0.200692356	Female	Moderately liberal	White	us	44	-0.23	"White Names/Unpleasant Words,Black Names/Pleasant Words"	49	48	89	58	92	94	89	83	88	90	NA	NA	NA	NA	Control	Incongruent first	76.4	79.6	3.2
14231131	726.525	1174.9	677.7037774	0.66160912	Female	Moderately liberal	White	us	18	-0.66	"Black Names/Unpleasant Words,White Names/Pleasant Words"	87	75	29	14	11	43	0	-14	-14	-2	NA	NA	NA	NA	Control	Congruent first	36.8	9	-27.8
14231199	1092.75	1332.15	696.7243957	0.343607891	Other	Strongly liberal	White	us	26	-0.34	"White Names/Pleasant Words,Black Names/Unpleasant Words"	42	23	99	99	99	99	1	-4	-36	10	the white people were criminals and the black people were celebrities	the admired celebrities were black	1	1	Experimental	Congruent first	87.6	-1.2	-88.8
14231261	1502.7	1376.25641	1170.857137	0.10799233	Female	Neutral	White	us	30	-0.11	"Black Names/Pleasant Words,White Names/Unpleasant Words"	43	62	100	2	59	63	65	-1	6	57	The white people were all criminals. The black people were famous in some way.	"The white criminals were famous, but not necessarily admired. The black famous individuals were not always admired, however they should have been."	1	1	Experimental	Incongruent first	53.4	37.8	-15.6
14231270	709.5384615	948.7692308	381.6874045	0.626771453	Male	Neutral	Hispanic	us	20	-0.58	"White Names/Pleasant Words,Black Names/Unpleasant Words"	-3	0	-1	1	-1	-1	0	-1	-2	-1	NA	NA	2	1	Experimental	Congruent first	-1	-0.8	0.2
14231291	782.15	817.8	246.5575125	0.144591011	Female	Strongly liberal	White	us	35	-0.14	"White Names/Pleasant Words,Black Names/Unpleasant Words"	47	-60	65	-1	0	46	1	0	-68	-71	NA	NA	NA	NA	Control	Congruent first	31.4	-39.6	-71
14231410	1480.8	1262.425	462.5339534	0.472127502	Female	Strongly liberal	White	us	64	-0.43	"Black Names/Pleasant Words,White Names/Unpleasant Words"	91	97	0	0	-1	-1	0	-1	0	1	No	No	2	4	Experimental	Incongruent first	17.8	19.4	1.6
14231436	773.325	947.375	276.4133348	0.62967295	Female	Moderately liberal	White	us	33	-0.59	"White Names/Pleasant Words,Black Names/Unpleasant Words"	62	-3	2	-1	0	-2	0	-3	1	-1	NA	NA	NA	NA	Control	Congruent first	12.2	-1.2	-13.4
14231478	729.825	1154.425	602.5863324	0.704629324	Female	Moderately liberal	White	us	68	-0.7	"Black Names/Unpleasant Words,White Names/Pleasant Words"	49	40	2	0	1	0	7	0	1	-1	NA	NA	NA	NA	Control	Congruent first	10.4	9.4	-1
14231498	1014.925	1184.275	348.4086281	0.486067182	Male	Neutral	Multiracial	us	17	-0.48	"Black Names/Unpleasant Words,White Names/Pleasant Words"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Experimental	Congruent first	NA	NA	NA
14231531	839.175	994.7	338.6630207	0.459232306	Male	Slightly liberal	White	us	20	-0.45	"White Names/Pleasant Words,Black Names/Unpleasant Words"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Experimental	Congruent first	NA	NA	NA
14231548	776.1	1084.75	558.7355475	0.552408024	Male	Slightly conservative	White	us	51	-0.55	"White Names/Pleasant Words,Black Names/Unpleasant Words"	32	-1	-1	-2	35	35	0	1	-3	0	NA	NA	NA	NA	Control	Congruent first	19.8	-0.6	-20.4
14231581	1745.525	2032.425	1331.013956	-0.215549956	Male	Strongly conservative	White	us	44	0.21	"White Names/Unpleasant Words,Black Names/Pleasant Words"	-4	-1	-1	-1	-1	0	0	0	-1	0	NA	NA	NA	NA	Control	Incongruent first	-1.4	-0.4	1
14231590	982.4	899.45	422.3666526	-0.196393346	Male	Neutral	Hispanic	us	19	0.2	"Black Names/Unpleasant Words,White Names/Pleasant Words"	-1	-2	0	0	-1	0	0	0	0	1	NA	NA	NA	NA	Control	Congruent first	-0.4	-0.2	0.2
14231625	1091.475	943.65	597.9362788	0.24722534	Female	Slightly conservative	White	us	19	-0.24	"Black Names/Pleasant Words,White Names/Unpleasant Words"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Control	Incongruent first	NA	NA	NA
14231642	1808.225	1688.875	745.9327845	0.160001011	Female	Moderately liberal	Multiracial	us	58	-0.15	"White Names/Unpleasant Words,Black Names/Pleasant Words"	92	89	0	-2	0	0	0	1	1	91	NA	NA	NA	NA	Control	Incongruent first	18	36.4	18.4
14231656	1842.825	2790.157895	1748.43986	-0.541816116	Male	Slightly conservative	Black	us	25	0.54	"Black Names/Pleasant Words,White Names/Unpleasant Words"	1	-2	-2	-1	-2	-1	-2	5	-3	-6	yes	yes	1	3	Experimental	Incongruent first	-1	-1.6	-0.6
14231678	652.95	686.25	113.832166	0.292535943	Female	Moderately liberal	White	us	26	-0.29	"Black Names/Unpleasant Words,White Names/Pleasant Words"	3	-84	72	92	19	33	0	-40	-60	-18	NA	NA	NA	NA	Control	Congruent first	43.8	-40.4	-84.2
14231768	1199.3	1072.1	560.2754612	0.227031182	Male	Strongly liberal	White	us	22	-0.22	"Black Names/Pleasant Words,White Names/Unpleasant Words"	1	1	74	86	73	71	0	49	18	53	NA	NA	NA	NA	Control	Incongruent first	61	24.2	-36.8
14231805	1507.25	1795.325	1237.409096	0.23280498	Male	Strongly liberal	White	us	46	-0.22	"Black Names/Unpleasant Words,White Names/Pleasant Words"	46	-27	-2	38	12	31	44	-27	-32	-44	NA	NA	NA	NA	Control	Congruent first	25	-17.2	-42.2
14231825	904.825	1537.775	630.8260688	1.003366905	Female	Moderately liberal	White	us	47	-0.99	"Black Names/Unpleasant Words,White Names/Pleasant Words"	90	77	86	88	88	87	76	84	78	80	NA	NA	NA	NA	Control	Congruent first	87.8	79	-8.8
14231841	679.875	1005.175	375.3644297	0.86662447	Female	Moderately liberal	White	us	17	-0.84	"White Names/Pleasant Words,Black Names/Unpleasant Words"	73	65	94	18	68	42	-5	19	-11	57	idk	idk	2	1	Experimental	Congruent first	59	25	-34
14231857	978.875	629.2	448.8238482	0.779091845	Female	Neutral	Asian	us	16	-0.74	"White Names/Unpleasant Words,Black Names/Pleasant Words"	22	-33	46	9	21	24	-17	-29	-22	-17	They were all bad people	Different race	1	2	Experimental	Incongruent first	24.4	-23.6	-48
14231889	837.9	727.225	363.4918154	-0.304477282	Male	Moderately liberal	Black	us	20	0.3	"Black Names/Unpleasant Words,White Names/Pleasant Words"	89	51	65	71	78	74	24	57	83	67	NA	NA	NA	NA	Control	Congruent first	75.4	56.4	-19
14231928	1304.325	959.6	979.3634647	0.35198883	Female	Neutral	Hispanic	us	23	-0.35	"Black Names/Pleasant Words,White Names/Unpleasant Words"	0	-6	97	24	1	1	94	-10	-9	-1	yes	no	1	3	Experimental	Incongruent first	24.6	13.6	-11
14232022	1166.9	929.675	501.9943566	-0.472565073	Female	Moderately liberal	Black	us	23	0.46	"White Names/Pleasant Words,Black Names/Unpleasant Words"	99	4	88	96	89	87	-1	-35	-46	-37	NA	NA	NA	NA	Control	Congruent first	91.8	-23	-114.8
14232042	736.875	1093.55	436.1334337	0.817811643	Female	Neutral	White	us	48	-0.79	"Black Names/Unpleasant Words,White Names/Pleasant Words"	86	80	86	92	89	90	82	86	85	84	White Americans had criminal past. Black Americans were successful.	Black Americans were recognized for accomplishments; White Americans were recognized as criminals.	1	1	Experimental	Congruent first	88.6	83.4	-5.2
14232077	703.875	753.775	380.6936632	-0.131076519	Female	Moderately liberal	White	us	19	0.13	"White Names/Unpleasant Words,Black Names/Pleasant Words"	99	89	99	100	77	75	76	99	52	77	NA	NA	NA	NA	Control	Incongruent first	90	78.6	-11.4
14232146	1294.325	1056.65	846.3049693	-0.280838479	Female	Slightly liberal	Black	us	16	0.28	"Black Names/Unpleasant Words,White Names/Pleasant Words"	100	35	100	94	53	97	10	1	12	-94	no	yes	1	1	Experimental	Congruent first	88.8	-7.2	-96
14232176	1732.875	1461.225	434.4241613	-0.625310524	Male	Neutral	White	us	34	0.62	"White Names/Pleasant Words,Black Names/Unpleasant Words"	99	98	98	99	99	99	99	100	99	99	NA	NA	NA	NA	Control	Congruent first	98.8	99	0.2
14232267	1522.525	1582.2	935.8325508	0.06376675	Female	Moderately conservative	White	us	34	-0.06	"Black Names/Unpleasant Words,White Names/Pleasant Words"	-3	44	51	0	-1	2	39	-1	-2	0	"The African American people were famous actors/ artists/ athletes, and the white people were all criminals"	"The white people would've been disliked, and the black people were typically very admired"	1	1	Experimental	Congruent first	9.8	16	6.2
14232387	2263.243243	2305.162162	1151.592298	-0.036400833	Female	Neutral	Black	us	34	0.04	"Black Names/Pleasant Words,White Names/Unpleasant Words"	100	56	100	98	98	98	100	100	100	98	dont know	the ones that people dislike are people that dont share as much lives it seems the one that let everyone in are loved.	2	4	Experimental	Incongruent first	98.8	90.8	-8
14232454	1071.625	701.2	593.3810374	-0.624261607	Male	Neutral	White	us	20	0.64	"White Names/Pleasant Words,Black Names/Unpleasant Words"	2	1	-1	-1	0	0	-1	-2	-1	0	NA	NA	NA	NA	Control	Congruent first	0	-0.6	-0.6
