session_id	block3	block5	pooledSD	D_Score	gender	politicalid	raceethnic	citizenship	age	d	block3Cond	thermoBlack	thermoWhite	semanticBeautyBlack	semanticGoodBlack	semanticHonestBlack	semanticPleasantBlack	semanticBeautyWhite	semanticGoodWhite	semanticHonestWhite	semanticPleasantWhite	learnCond	order	expBlack	expWhite	expDiff
14136771	1060.25	1178	710.4648037	-0.16573657	Female	Moderately liberal	Asian	us	26	0.16	"White Names/Unpleasant Words,Black Names/Pleasant Words"	29	52	100	100	0	-1	39	0	0	-27	Control	Incongruent first	45.6	12.8	-32.8
14136788	973.75	760.025	449.3294862	0.475653182	Female	Neutral	Asian	us	24	-0.47	"White Names/Unpleasant Words,Black Names/Pleasant Words"	99	-38	99	99	57	69	14	40	13	36	Control	Incongruent first	84.6	13	-71.6
14136803	830.05	905.525	359.1978297	-0.21012098	Female	Strongly liberal	Hispanic	us	22	0.21	"Black Names/Pleasant Words,White Names/Unpleasant Words"	100	-30	99	100	100	69	-5	-20	-49	-21	Control	Incongruent first	93.6	-25	-118.6
14136855	743.325	1172.8	657.8590774	0.652837385	Male	Moderately conservative	White	us	35	-0.64	"Black Names/Unpleasant Words,White Names/Pleasant Words"	4	-2	0	-1	-1	0	0	0	0	-2	Experimental	Congruent first	0.4	-0.8	-1.2
14136868	896.825	737.475	329.732308	-0.483270811	Female	Strongly liberal	Hispanic	us	23	0.48	"Black Names/Unpleasant Words,White Names/Pleasant Words"	100	-9	99	100	100	100	44	-8	-46	-19	Experimental	Congruent first	99.8	-7.6	-107.4
14136873	1225.25	953.625	999.0025512	0.271896203	Female	Neutral	White	us	20	-0.27	"Black Names/Pleasant Words,White Names/Unpleasant Words"	100	100	99	99	-3	99	99	99	1	100	Control	Incongruent first	78.8	79.8	1
14136885	968.725	829.4	483.478413	0.288172122	Female	Neutral	White	us	59	-0.28	"White Names/Unpleasant Words,Black Names/Pleasant Words"	93	89	3	-1	2	-2	-4	90	-2	1	Experimental	Incongruent first	19	34.8	15.8
14136904	1086.975	988.7	450.3530667	0.218217677	Male	Slightly liberal	Middle Eastern	us	21	-0.21	"White Names/Unpleasant Words,Black Names/Pleasant Words"	-6	2	100	93	84	97	88	89	77	87	Experimental	Incongruent first	73.6	68.6	-5
14136916	824.025	670.4	406.0508384	0.378339325	Male	Neutral	White	us	34	-0.37	"Black Names/Pleasant Words,White Names/Unpleasant Words"	22	23	-1	0	-1	-1	0	-2	0	0	Control	Incongruent first	3.8	4.2	0.4
14136948	955.425	1424.6	543.1342817	0.863828736	Male	Neutral	Hispanic	us	22	-0.86	"Black Names/Unpleasant Words,White Names/Pleasant Words"	-10	25	-42	0	0	-1	13	-1	38	62	Experimental	Congruent first	-10.6	27.4	38
14136987	917.05	1852.7	1105.615807	0.846270462	Female	Neutral	White	us	50	-0.83	"White Names/Pleasant Words,Black Names/Unpleasant Words"	100	100	99	-1	-2	0	99	-1	0	-1	Control	Congruent first	39.2	39.4	0.2
14136993	879.575	736.1	351.4371739	0.408252202	Female	Neutral	Hispanic	us	22	-0.41	"White Names/Unpleasant Words,Black Names/Pleasant Words"	2	7	-1	-3	1	2	0	-1	1	1	Experimental	Incongruent first	0.2	1.6	1.4
14137009	934.9	868.125	403.7291044	0.165395557	Male	Moderately liberal	Multiracial	us	27	-0.17	"Black Names/Pleasant Words,White Names/Unpleasant Words"	48	44	85	66	40	46	37	42	36	74	Control	Incongruent first	57	46.6	-10.4
14137039	802.75	696.85	157.6132424	-0.671897858	Male	Strongly liberal	Asian	us	34	0.67	"Black Names/Unpleasant Words,White Names/Pleasant Words"	2	2	100	60	49	66	100	49	53	49	Experimental	Congruent first	55.4	50.6	-4.8
14137048	843.6	949.1	384.2880348	0.274533658	Male	Moderately liberal	White	us	42	-0.27	"White Names/Pleasant Words,Black Names/Unpleasant Words"	16	45	0	26	20	18	43	25	32	37	Control	Congruent first	16	36.4	20.4
14137065	1141.925	1318.625	648.0226589	0.27267565	Male	Slightly liberal	Multiracial	us	28	-0.27	"White Names/Pleasant Words,Black Names/Unpleasant Words"	0	-2	46	0	-1	39	42	-1	-29	1	Experimental	Congruent first	16.8	2.2	-14.6
14137112	777.325	960.05	478.3683659	0.381975509	Male	Moderately liberal	White	us	46	-0.38	"White Names/Pleasant Words,Black Names/Unpleasant Words"	-4	2	0	-6	-4	-4	2	0	-1	0	Control	Congruent first	-3.6	0.6	4.2
14137124	1850.425	1136.125	911.0347014	0.784053559	Female	Strongly conservative	White	us	33	-0.77	"Black Names/Pleasant Words,White Names/Unpleasant Words"	-1	-4	0	0	-1	-1	0	0	0	-2	Experimental	Incongruent first	-0.6	-1.2	-0.6
14137154	1334.275	1205.25	725.2424517	-0.177906023	Male	Strongly liberal	Asian	us	36	0.17	"Black Names/Unpleasant Words,White Names/Pleasant Words"	-2	-7	99	98	-1	100	99	-44	-99	-46	Control	Congruent first	58.8	-19.4	-78.2
14137165	996.2	922.2	384.2652828	-0.192575294	Female	Moderately liberal	White	us	28	0.19	"White Names/Pleasant Words,Black Names/Unpleasant Words"	47	2	26	26	1	20	1	-15	1	-2	Control	Congruent first	24	-2.6	-26.6
14137173	1899.575	1089.05	1036.416142	-0.782045905	Female	Strongly liberal	Multiracial	us	32	0.78	"Black Names/Unpleasant Words,White Names/Pleasant Words"	100	0	47	95	0	59	-1	0	0	-1	Experimental	Congruent first	60.2	-0.4	-60.6
14137230	1249.7	1014.475	701.3399146	0.335393716	Male	Strongly conservative	White	us	21	-0.33	"White Names/Unpleasant Words,Black Names/Pleasant Words"	5	2	0	-1	0	-3	0	-1	0	0	Control	Incongruent first	0.2	0.2	0
14137296	1946.564103	1909.525	1250.133491	-0.029628118	Female	Moderately liberal	White	us	37	0.03	"White Names/Pleasant Words,Black Names/Unpleasant Words"	99	99	NA	NA	NA	NA	NA	NA	NA	NA	Control	Congruent first	99	99	0
14137365	744.675	824.875	230.6792927	-0.347668831	Male	Strongly liberal	White	us	31	0.34	"Black Names/Pleasant Words,White Names/Unpleasant Words"	8	7	1	2	2	1	2	1	2	1	Experimental	Incongruent first	2.8	2.6	-0.2
14137455	709.8	608.55	236.0779626	0.428883742	Other	Strongly liberal	White	us	46	-0.4	"White Names/Unpleasant Words,Black Names/Pleasant Words"	-15	-26	-2	-1	-1	1	-1	-20	-1	-14	Control	Incongruent first	-3.6	-12.4	-8.8
14137464	1839.416667	1405.974359	1330.307066	-0.325821247	Female	Neutral	Black	us	44	0.33	"White Names/Pleasant Words,Black Names/Unpleasant Words"	91	3	96	2	1	93	-1	41	-94	0	Experimental	Congruent first	56.6	-10.2	-66.8
14137485	836.975	1631.4	995.8029277	0.797773312	Female	Strongly conservative	White	us	55	-0.79	"Black Names/Unpleasant Words,White Names/Pleasant Words"	100	99	99	99	99	99	99	99	99	100	Experimental	Congruent first	99.2	99.2	0
14137537	1322.6	981.525	625.8432356	0.544984719	Male	Moderately conservative	White	us	62	-0.54	"Black Names/Pleasant Words,White Names/Unpleasant Words"	-2	3	0	-3	2	1	-1	0	-1	-1	Experimental	Incongruent first	-0.4	0	0.4
14137550	771.675	1162.275	412.2464844	0.947491403	Female	Neutral	White	us	43	-0.91	"Black Names/Unpleasant Words,White Names/Pleasant Words"	-3	-3	-1	-1	-1	1	-2	-2	-1	-1	Control	Congruent first	-1	-1.8	-0.8
14137621	1147.925	1628.275	532.4571558	0.902138312	Male	Strongly liberal	White	us	26	-0.84	"Black Names/Unpleasant Words,White Names/Pleasant Words"	11	-4	-2	0	1	1	-1	0	0	0	Experimental	Congruent first	2.2	-1	-3.2
14137689	938.45	1190.075	555.0571129	0.453331728	Male	Moderately liberal	Hispanic	us	38	-0.45	"White Names/Pleasant Words,Black Names/Unpleasant Words"	63	29	89	69	77	43	34	44	42	43	Experimental	Congruent first	68.2	38.4	-29.8
14137692	899.35	1215.65	301.6989446	1.04839611	Male	Strongly conservative	White	us	63	-1.01	"White Names/Pleasant Words,Black Names/Unpleasant Words"	-7	-3	-1	-1	-2	-3	-4	-1	0	-2	Experimental	Congruent first	-2.8	-2	0.8
14137702	963.05	1447.925	599.3062444	-0.809060484	Female	Moderately liberal	White	us	26	0.8	"White Names/Unpleasant Words,Black Names/Pleasant Words"	56	5	0	2	1	1	-3	-7	-2	-50	Experimental	Incongruent first	12	-11.4	-23.4
14137725	1377.45	1430.825	470.2999512	0.1134914	Female	Moderately conservative	White	us	61	-0.11	"White Names/Pleasant Words,Black Names/Unpleasant Words"	1	24	22	44	29	22	43	41	48	41	Experimental	Congruent first	23.6	39.4	15.8
14137732	1116.35	957.1	425.458025	0.374302494	Male	Neutral	Asian	us	23	-0.37	"White Names/Unpleasant Words,Black Names/Pleasant Words"	3	16	-27	-2	1	-1	23	0	45	1	Control	Incongruent first	-5.2	17	22.2
14137740	688.775	817.1	226.510812	0.566529248	Female	Slightly conservative	White	us	19	-0.55	"Black Names/Unpleasant Words,White Names/Pleasant Words"	86	82	100	99	99	99	91	99	96	99	Experimental	Congruent first	96.6	93.4	-3.2
14137765	1213.25	934.95	570.5690164	0.487758697	Male	Neutral	White	us	26	-0.46	"White Names/Unpleasant Words,Black Names/Pleasant Words"	39	11	1	1	3	-1	1	-1	1	0	Control	Incongruent first	8.6	2.4	-6.2
14137813	884.775	1085.225	499.8268308	-0.401038895	Female	NA	White	us	18	0.4	"Black Names/Pleasant Words,White Names/Unpleasant Words"	91	66	99	78	55	98	91	46	89	50	Control	Incongruent first	84.2	68.4	-15.8
14137872	1027.725	881	537.0030583	-0.273229356	Other	Neutral	Black	us	24	0.22	"Black Names/Unpleasant Words,White Names/Pleasant Words"	27	1	-2	5	-2	1	12	1	-4	1	Experimental	Congruent first	5.8	2.2	-3.6
14137917	1108.3	1602.7	666.0739876	0.742259883	Male	Neutral	White	us	24	-0.73	"Black Names/Unpleasant Words,White Names/Pleasant Words"	35	36	91	87	89	90	92	93	92	92	Control	Congruent first	78.4	81	2.6
14137934	1101.45	924.15	393.352401	0.450740861	Female	Slightly liberal	White	us	50	-0.44	"Black Names/Pleasant Words,White Names/Unpleasant Words"	45	48	-1	12	-1	15	-3	1	-1	-4	Control	Incongruent first	14	8.2	-5.8
14137965	781.45	1327.775	602.0144768	0.907494788	Female	Neutral	White	us	52	-0.91	"Black Names/Unpleasant Words,White Names/Pleasant Words"	99	99	100	100	85	68	100	61	43	47	Experimental	Congruent first	90.4	70	-20.4
14137980	1111.375	1243.875	641.6076599	0.206512497	Male	Neutral	White	us	55	-0.2	"Black Names/Unpleasant Words,White Names/Pleasant Words"	-1	-2	1	2	2	0	1	-2	-1	0	Experimental	Congruent first	0.8	-0.8	-1.6
14138009	1202.05	1067.45	725.254185	0.185590105	Female	Neutral	Native American	us	50	-0.18	"White Names/Unpleasant Words,Black Names/Pleasant Words"	53	47	NA	NA	NA	NA	NA	NA	NA	NA	Control	Incongruent first	53	47	-6
14138016	859.925	865.1	328.9862447	-0.015730141	Female	Slightly liberal	Hispanic	us	20	0.02	"White Names/Unpleasant Words,Black Names/Pleasant Words"	-46	-41	-36	-16	-40	-26	-41	-17	17	-14	Experimental	Incongruent first	-32.8	-19.2	13.6
14138057	951.225	992.3	551.3592696	0.074497705	Other	Strongly liberal	White	us	26	-0.07	"Black Names/Unpleasant Words,White Names/Pleasant Words"	100	-53	100	1	1	-1	0	-4	-41	-48	Experimental	Congruent first	40.2	-29.2	-69.4
14138064	1152.25	1441.975	619.1917147	0.467908393	Male	Moderately liberal	Black	us	48	-0.47	"White Names/Pleasant Words,Black Names/Unpleasant Words"	100	-1	1	1	1	1	0	1	0	0	Experimental	Congruent first	20.8	0	-20.8
14138076	1836.075	1110.8	1024.180053	0.708151851	Female	Neutral	Asian	us	56	-0.71	"Black Names/Pleasant Words,White Names/Unpleasant Words"	-3	-2	-1	-3	-1	-1	-2	-1	1	-1	Control	Incongruent first	-1.8	-1	0.8
14138122	907.85	1327.8	645.3666365	0.650715386	Female	Moderately liberal	White	us	51	-0.64	"White Names/Pleasant Words,Black Names/Unpleasant Words"	-20	-11	15	1	-24	-16	-31	-25	-29	-17	Control	Congruent first	-8.8	-22.6	-13.8
14138126	1056.675	789.875	501.3477021	0.532165599	Female	Slightly conservative	White	us	29	-0.51	"Black Names/Pleasant Words,White Names/Unpleasant Words"	47	69	74	64	60	65	100	66	89	65	Control	Incongruent first	62	77.8	15.8
14138144	709.875	976.6	407.7263988	-0.65417643	Female	Strongly liberal	Black	us	28	0.65	"White Names/Unpleasant Words,Black Names/Pleasant Words"	100	-29	100	-1	-11	63	1	-13	-18	9	Control	Incongruent first	50.2	-10	-60.2
14138161	1496.333333	1235.65	687.9813818	0.378910448	Female	Neutral	White	us	42	-0.36	"White Names/Unpleasant Words,Black Names/Pleasant Words"	-8	-2	-1	-3	-2	-4	-1	-1	-39	-21	Experimental	Incongruent first	-3.6	-12.8	-9.2
14138184	750.775	1115.375	356.0790971	1.023929804	Female	Moderately conservative	White	us	57	-1.02	"White Names/Pleasant Words,Black Names/Unpleasant Words"	2	1	0	3	1	1	93	0	1	-2	Control	Congruent first	1.4	18.6	17.2
14138186	766.325	987.525	441.2882687	0.501259643	Female	Moderately conservative	White	us	24	-0.49	"White Names/Pleasant Words,Black Names/Unpleasant Words"	-4	-1	1	-1	-22	0	-1	-1	-35	-41	Experimental	Congruent first	-5.2	-15.8	-10.6
14138285	1469.076923	1070.8	864.416249	0.460746687	Female	Neutral	White	us	46	-0.46	"Black Names/Pleasant Words,White Names/Unpleasant Words"	95	2	-1	100	0	0	99	0	-3	98	Control	Incongruent first	38.8	39.2	0.4
14138328	713.525	742.4	390.9876635	-0.073851435	Male	Neutral	White	us	28	0.07	"White Names/Unpleasant Words,Black Names/Pleasant Words"	32	33	34	-1	-1	27	15	-2	-1	13	Experimental	Incongruent first	18.2	11.6	-6.6
14138345	1250.6	905.775	615.2574246	0.560456463	Male	Neutral	White	us	31	-0.5	"White Names/Unpleasant Words,Black Names/Pleasant Words"	3	1	2	1	1	-3	1	-1	-1	-1	Control	Incongruent first	0.8	-0.2	-1
14138347	654.95	857.15	268.5446902	0.752947302	Male	Neutral	White	us	29	-0.74	"White Names/Pleasant Words,Black Names/Unpleasant Words"	5	-3	92	53	37	27	98	29	42	19	Control	Congruent first	42.8	37	-5.8
14138351	1088.9	1327.1	504.7980421	0.471871878	Male	Neutral	White	us	22	-0.53	"White Names/Pleasant Words,Black Names/Unpleasant Words"	48	50	66	66	69	65	78	68	67	70	Experimental	Congruent first	62.8	66.6	3.8
14138464	1360.1	828.9	705.3235006	0.753129592	Female	Moderately liberal	White	us	57	-0.75	"Black Names/Pleasant Words,White Names/Unpleasant Words"	57	69	88	78	84	68	82	83	80	84	Control	Incongruent first	75	79.6	4.6
14138478	1387.35	1853.425	778.6995731	0.598529929	Male	Moderately conservative	White	us	48	-0.58	"Black Names/Unpleasant Words,White Names/Pleasant Words"	1	2	-1	-1	-1	-2	-1	0	-1	-1	Experimental	Congruent first	-0.8	-0.2	0.6
14138500	755.55	937.725	415.4690881	0.438480275	Female	Moderately liberal	White	us	29	-0.43	"White Names/Pleasant Words,Black Names/Unpleasant Words"	100	99	99	98	100	98	99	98	99	98	Control	Congruent first	99	98.6	-0.4
14138560	1089.4	1370.5	833.5036452	0.337251075	Male	Neutral	Hispanic	us	28	-0.23	"White Names/Pleasant Words,Black Names/Unpleasant Words"	46	46	0	0	0	-1	0	0	0	0	Experimental	Congruent first	9	9.2	0.2
14138583	1265.925	1745.4	1265.050646	0.379016446	Female	Neutral	White	us	27	-0.37	"White Names/Pleasant Words,Black Names/Unpleasant Words"	70	69	74	72	71	80	51	71	76	82	Experimental	Congruent first	73.4	69.8	-3.6
14138585	1821.692308	2210.125	1254.702081	0.309581612	Male	Strongly conservative	White	us	55	-0.3	"White Names/Pleasant Words,Black Names/Unpleasant Words"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Control	Congruent first	NA	NA	NA
14138590	837.425	1248.15	931.3404888	0.441004128	Female	Slightly liberal	White	us	23	-0.44	"Black Names/Unpleasant Words,White Names/Pleasant Words"	42	47	54	0	0	1	49	-1	0	0	Experimental	Congruent first	19.4	19	-0.4
14138594	1163.075	819.725	800.8949045	0.428707934	Female	Moderately liberal	White	us	22	-0.41	"White Names/Unpleasant Words,Black Names/Pleasant Words"	60	55	88	36	73	47	91	52	43	40	Experimental	Incongruent first	60.8	56.2	-4.6
14138659	1061.8	1136.5	601.9482525	0.124097046	Female	Strongly conservative	White	us	46	-0.12	"Black Names/Unpleasant Words,White Names/Pleasant Words"	14	22	-3	7	2	11	2	8	9	10	Experimental	Congruent first	6.2	10.2	4
14138684	1132.3	1277.95	602.3462643	0.241804438	Male	Moderately conservative	White	us	51	-0.24	"Black Names/Unpleasant Words,White Names/Pleasant Words"	90	91	-1	98	98	93	97	97	100	98	Control	Congruent first	75.6	96.6	21
14138691	1235.225	1186.275	801.2343247	-0.061093239	Male	Neutral	Middle Eastern	us	25	0.06	"White Names/Pleasant Words,Black Names/Unpleasant Words"	80	62	100	87	100	89	100	81	69	100	Experimental	Congruent first	91.2	82.4	-8.8
14138711	958.65	914.225	263.4691077	-0.168615594	Female	Neutral	White	us	63	0.17	"Black Names/Unpleasant Words,White Names/Pleasant Words"	-1	27	0	37	34	31	0	28	28	36	Control	Congruent first	20.2	23.8	3.6
14138741	1146.1	1090.5	719.5250614	0.077273194	Female	Moderately liberal	Hispanic	us	26	-0.08	"White Names/Unpleasant Words,Black Names/Pleasant Words"	100	46	99	98	0	99	99	-2	2	-1	Control	Incongruent first	79.2	28.8	-50.4
14138807	751.35	959.925	390.1561273	0.53459368	Female	Slightly conservative	White	us	21	-0.53	"Black Names/Unpleasant Words,White Names/Pleasant Words"	43	51	90	85	90	82	72	89	77	77	Experimental	Congruent first	78	73.2	-4.8
14138844	1463.625	1057.225	807.8498854	0.503063759	Female	Slightly liberal	Asian	us	20	-0.49	"Black Names/Pleasant Words,White Names/Unpleasant Words"	-2	-1	17	1	15	21	20	-1	-44	14	Experimental	Incongruent first	10.4	-2.4	-12.8
14138916	801.925	810.325	245.5222991	0.034212778	Other	Strongly liberal	White	us	22	-0.03	"White Names/Pleasant Words,Black Names/Unpleasant Words"	55	57	25	12	3	15	29	-1	-1	-1	Control	Congruent first	22	16.6	-5.4
14138942	643.75	658.15	209.9127546	-0.068599929	Male	Strongly liberal	White	us	18	-0.05	"White Names/Unpleasant Words,Black Names/Pleasant Words"	-4	-4	-1	1	-1	0	-1	-2	-2	-1	Experimental	Incongruent first	-1	-2	-1
14138991	1171.425	1060.875	507.07506	0.218015061	Female	Moderately conservative	White	us	20	-0.21	"White Names/Unpleasant Words,Black Names/Pleasant Words"	1	77	13	7	30	3	57	53	57	48	Control	Incongruent first	10.8	58.4	47.6
14139015	866.2	1316.475	480.5253439	0.93704735	Male	Slightly conservative	Black	us	47	-0.94	"White Names/Pleasant Words,Black Names/Unpleasant Words"	3	-1	-2	-2	2	0	1	-1	-3	-5	Control	Congruent first	0.2	-1.8	-2
14139087	1525.3	1350.9	850.9267264	0.204953017	Female	Moderately liberal	White	us	25	-0.2	"White Names/Unpleasant Words,Black Names/Pleasant Words"	35	-28	35	-2	4	-3	-1	-3	11	-37	Experimental	Incongruent first	13.8	-11.6	-25.4
14139098	1339.425	2280.075	1175.614857	0.800134495	Male	Moderately conservative	White	us	58	-0.8	"Black Names/Unpleasant Words,White Names/Pleasant Words"	42	42	2	1	3	0	1	3	4	2	Experimental	Congruent first	9.6	10.4	0.8
14139109	1215.05	1034.15	440.3625261	0.410797898	Male	Neutral	White	us	55	-0.41	"Black Names/Pleasant Words,White Names/Unpleasant Words"	18	-5	0	0	0	12	-1	0	0	-1	Experimental	Incongruent first	6	-1.4	-7.4
14139137	671.9	872.6	272.7065702	0.735955866	Female	Neutral	White	us	65	-0.73	"Black Names/Unpleasant Words,White Names/Pleasant Words"	23	20	0	18	1	16	-1	2	1	19	Experimental	Congruent first	11.6	8.2	-3.4
14139143	1049.775	1704.45	800.5888971	0.817741793	Male	Moderately liberal	White	us	14	-0.8	"Black Names/Unpleasant Words,White Names/Pleasant Words"	1	-3	0	-1	-2	0	-2	-1	-1	-1	Control	Congruent first	-0.4	-1.6	-1.2
14139157	702.575	854.65	294.239741	0.51684045	Female	Neutral	White	us	34	-0.52	"White Names/Pleasant Words,Black Names/Unpleasant Words"	4	84	6	0	0	4	3	0	1	19	Experimental	Congruent first	2.8	21.4	18.6
14139159	729.825	760.375	348.2452068	0.087725543	Female	Moderately liberal	Multiracial	us	26	-0.09	"White Names/Pleasant Words,Black Names/Unpleasant Words"	92	86	100	79	91	88	98	86	89	81	Control	Congruent first	90	88	-2
14139174	826.575	877.125	251.642156	-0.200880492	Male	Neutral	White	us	37	0.2	"White Names/Unpleasant Words,Black Names/Pleasant Words"	-12	37	10	-1	0	0	0	12	14	6	Experimental	Incongruent first	-0.6	13.8	14.4
14139195	989.45	1313.075	473.4120624	0.683601086	Female	Neutral	White	us	33	-0.68	"White Names/Pleasant Words,Black Names/Unpleasant Words"	5	0	98	99	98	97	98	98	97	99	Experimental	Congruent first	79.4	78.4	-1
14139200	788.525	1333.85	923.1732025	0.590707138	Male	Neutral	White	us	27	-0.58	"White Names/Pleasant Words,Black Names/Unpleasant Words"	96	96	0	0	0	-2	-2	0	-2	-2	Control	Congruent first	18.8	18	-0.8
14139208	703.2	823.6	324.2332962	0.371337557	Female	Neutral	Hispanic	us	30	-0.37	"Black Names/Unpleasant Words,White Names/Pleasant Words"	-11	-2	-2	-1	-3	-1	1	0	2	0	Experimental	Congruent first	-3.6	0.2	3.8
14139211	1255.9	952.5	660.0637944	-0.459652541	Female	Neutral	Multiracial	us	42	0.46	"White Names/Pleasant Words,Black Names/Unpleasant Words"	NA	NA	-4	-1	0	0	-2	-2	1	0	Experimental	Congruent first	-1.25	-0.75	0.5
14139314	1279.5	1078.925	564.8572508	0.355089715	Male	Moderately liberal	White	us	31	-0.35	"White Names/Unpleasant Words,Black Names/Pleasant Words"	42	32	0	0	1	0	0	-1	0	-1	Control	Incongruent first	8.6	6	-2.6
14139317	1235.825	1006.15	1004.186345	-0.22871751	Female	Neutral	Black	us	47	0.23	"Black Names/Unpleasant Words,White Names/Pleasant Words"	99	60	98	45	44	42	-28	-49	-31	-44	Experimental	Congruent first	65.6	-18.4	-84
14139359	1587.925	1149.625	935.1418761	0.468698933	Female	Neutral	White	us	45	-0.47	"White Names/Unpleasant Words,Black Names/Pleasant Words"	82	66	-2	1	1	-1	3	0	2	-1	Experimental	Incongruent first	16.2	14	-2.2
