session_id	block3	block5	pooledSD	D_Score	gender	politicalid	raceethnic	citizenship	age	d	block3Cond	thermoBlack	thermoWhite	semanticBeautyBlack	semanticGoodBlack	semanticHonestBlack	semanticPleasantBlack	semanticBeautyWhite	semanticGoodWhite	semanticHonestWhite	semanticPleasantWhite	exp_check1	exp_check2	exp_check3	exp_check4	exp_check5	exp_check6	learnCond	order	expBlack	expWhite	expDiff
14368377	1191.525	1119	578.5633614	0.1253536	Female	Moderately liberal	white	us	58	-0.12	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	65	1	98	46	30	34	-43	-1	-9	-2	NA	NA	NA	NA	NA	NA	Control	Incongruent first	54.6	-10.8	-65.4
14368419	949.55	1169.925	347.8436192	-0.633546191	Other	Strongly liberal	white	us	18	0.62	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	6	-7	-1	1	1	3	-1	0	-1	-3	"Some were famous for crimes, others were famous for acting or singing."	No	2	1	2	3	Experimental	Incongruent first	2	-2.4	-4.4
14368525	1174.65	929.3	846.4420094	0.289860377	Female	Slightly conservative	white	us	36	-0.29	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	6	2	-2	2	-2	95	2	-1	1	-2	The white males were all known for negative issues while the African American males were all known for positive issues.	NA	1	1	2	2	Experimental	Incongruent first	19.8	0.4	-19.4
14368550	834.375	1069.15	607.9618418	0.386167328	Male	Moderately conservative	white	us	30	-0.42	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	100	100	100	100	100	100	100	100	1	100	NA	NA	NA	NA	NA	NA	Control	Congruent first	100	80.2	-19.8
14368560	1255.3	967.8	921.445602	0.312009737	Female	Moderately liberal	white	us	47	-0.31	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	100	98	49	98	1	98	57	94	74	2	"white people were criminals, black people were heroic"	"admired were black, disliked were white"	1	1	2	2	Experimental	Incongruent first	69.2	65	-4.2
14368569	1471.4	753.525	866.1535945	0.828807967	Female	Neutral	white	us	61	-0.81	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	68	73	73	76	85	89	69	79	78	83	NA	NA	NA	NA	NA	NA	Control	Incongruent first	78.2	76.4	-1.8
14368644	993.275	1331.05	653.4904616	0.516878241	Male	Strongly liberal	white	us	26	-0.51	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	42	23	75	7	7	10	38	-16	1	-1	The white Americans were all bad people and the black Americans represented culturally good people. There were no women.	We admire the success and dislike those who have done harm in society.	1	1	2	2	Experimental	Congruent first	28.2	9	-19.2
14368676	1075.875	1089.825	467.5177408	0.02983844	Female	Neutral	white	us	46	-0.03	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	93	1	89	2	1	1	0	1	-1	-1	Negative white people	African American admired	1	1	2	1	Experimental	Congruent first	37.2	0	-37.2
14368728	986.8	765.625	358.0204963	0.617771894	Female	Moderately conservative	white	us	59	-0.61	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	NA	NA	12	20	-24	-15	NA	2	-1	NA	NA	NA	NA	NA	NA	NA	Control	Incongruent first	-1.75	0.5	2.25
14368734	600.625	556.725	222.4071859	-0.197385709	Female	Moderately liberal	white	us	25	0.02	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	100	99	-1	-2	0	-1	-1	0	1	0	"A lot of the white ones were notorious criminals, the Black ones were famous for their talent and success"	NA	NA	1	2	2	Experimental	Congruent first	19.2	19.8	0.6
14368762	1738.025	1508.6	1236.450192	0.185551348	Female	Strongly liberal	white	us	81	-0.18	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	60	60	0	-1	0	0	2	1	1	3	NA	NA	NA	NA	NA	NA	Control	Incongruent first	11.8	13.4	1.6
14368820	895.075	1190.9	466.7731266	0.633766134	Female	Moderately conservative	white	us	63	-0.62	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	79	72	85	93	97	88	95	95	98	97	NA	NA	2	3	3	3	Experimental	Congruent first	88.4	91.4	3
14368854	672.225	1237.9	804.5140894	0.703126281	Female	Slightly liberal	white	us	49	-0.69	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	100	46	37	-2	45	38	34	0	48	97	NA	NA	NA	NA	NA	NA	Control	Congruent first	43.6	45	1.4
14368885	776.125	1135.6	478.9721787	0.75051332	Female	Moderately conservative	white	us	38	-0.73	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	-2	-3	-1	0	-1	-1	0	0	-1	0	The black americans were all known for positive things and the white americans were all known for negative things.	I noticed the liked ones were black and the unliked were white.	1	1	2	3	Experimental	Congruent first	-1	-0.8	0.2
14368905	756.95	997.7	537.052829	0.448279921	Female	Moderately liberal	white	us	51	-0.44	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	94	98	1	-1	-3	-1	-2	-2	-3	1	The white people were all crime related	The black people were sports and actors	1	1	1	3	Experimental	Congruent first	18	18.4	0.4
14368918	1299.925	1267.65	791.3799147	0.040783193	Female	Strongly liberal	white	us	65	-0.04	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	100	55	100	100	100	100	26	-15	-14	11	the black Americans were all good people and the white Americans were criminals	"athletes, actors, musicians"	1	1	2	3	Experimental	Incongruent first	100	12.6	-87.4
14368975	1505.35	1351.1	881.7970284	-0.174926877	Female	Neutral	white	us	41	0.17	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	72	72	97	1	44	2	0	-2	2	2	NA	NA	NA	NA	NA	NA	Control	Congruent first	43.2	14.8	-28.4
14369009	1289.575	1942.975	907.1721394	-0.720260215	Male	Moderately conservative	white	us	53	0.68	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	2	35	-3	-8	2	10	40	-1	-3	-18	No	Seems like the criminals were white	1	1	2	3	Experimental	Incongruent first	0.6	10.6	10
14369022	783.525	873.1	475.7979465	0.188262687	Male	Moderately liberal	white	us	28	-0.19	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	21	20	0	0	0	20	1	0	0	0	The white folks were convicted criminals (bad people); the black folks were good people in the sense that they made positive contributions to our country	"The people that are admired made positive contributions to our society, and the disliked people made very negative contributions to our society."	1	1	2	3	Experimental	Congruent first	8.2	4.2	-4
14369096	1320.5	1004.85	760.943448	0.414814006	Female	Strongly liberal	white	us	73	-0.41	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	100	100	100	100	100	65	100	96	100	100	NA	NA	NA	NA	NA	NA	Control	Incongruent first	93	99.2	6.2
14369159	1050.85	1011.65	864.7543809	0.045330791	Female	Neutral	white	us	13	-0.03	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	50	44	-1	-1	-6	0	-1	-1	-9	-1	A lot of them committed crimes.	no	2	1	2	2	Experimental	Incongruent first	8.4	6.4	-2
14369208	724.3	909.175	337.0701667	0.548476306	Female	Slightly liberal	white	us	60	-0.58	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	-30	25	9	-20	0	-16	10	5	-2	-2	NA	NA	NA	NA	NA	NA	Control	Congruent first	-11.4	7.2	18.6
14369253	738.1025641	877.7	345.0235098	0.404602678	Female	Moderately conservative	white	us	53	-0.4	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	44	45	-1	0	-1	-1	-1	-1	0	0	"From what I recall the famous American individuals that were presented all did/do something GREAT, whether it be acting, an athlete or a prominent civil rights activist and those that were white were famous for doing something horrible."	The reasons behind the what that made them famous or well known.	1	1	2	2	Experimental	Congruent first	8.2	8.6	0.4
14369265	1377.075	1007.8	755.1262757	0.48902417	Male	Strongly conservative	white	us	55	-0.49	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	34	36	-4	29	31	28	25	30	28	31	NA	NA	NA	NA	NA	NA	Control	Incongruent first	23.6	30	6.4
14369269	1351.425	1297.375	1164.835617	0.046401397	Female	Neutral	white	us	47	-0.05	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	94	91	0	-1	-1	-2	0	0	0	-1	NA	NA	NA	NA	NA	NA	Control	Incongruent first	18	18	0
14369315	881.075	806.375	262.3533695	0.284730477	Female	Moderately liberal	white	us	54	-0.27	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	70	75	-1	0	1	-14	-1	0	0	-14	NA	NA	NA	NA	NA	NA	Control	Incongruent first	11.2	12	0.8
14369333	960.025	1289.6	733.1513408	-0.449532016	Female	Strongly liberal	white	us	87	0.45	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	11	14	10	-9	7	3	8	-10	-7	-10	Most whites were criminal	No black terrorists	2	1	2	2	Experimental	Incongruent first	4.4	-1	-5.4
14369393	664.35	737.525	323.6367061	0.226102289	Female	Moderately liberal	white	us	26	-0.21	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	-9	37	76	23	-23	27	55	8	-15	13	NA	NA	NA	NA	NA	NA	Control	Congruent first	18.8	19.6	0.8
14369396	1724.175	1432.7	1535.510486	-0.189822865	Female	Neutral	white	us	44	0.19	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	30	-23	48	51	59	58	28	32	28	40	NA	NA	NA	NA	NA	NA	Control	Congruent first	49.2	21	-28.2
14369507	1101.7	1343.25	633.9311741	-0.381035055	Female	Strongly liberal	white	us	38	0.35	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	23	-18	100	2	1	1	100	0	-1	1	NA	NA	NA	NA	NA	NA	Control	Incongruent first	25.4	16.4	-9
14369534	650.725	890.2	298.7860648	0.801493203	Female	Strongly liberal	white	us	36	-0.79	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	24	24	16	-2	-18	-2	21	-1	21	24	"Whites were criminals, blacks were celebs"	No	1	1	2	2	Experimental	Congruent first	3.6	17.8	14.2
14369539	1387.225	1688.230769	1127.085949	0.267065497	Male	NA	white	us	62	-0.27	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	36	37	40	39	39	38	31	35	34	40	NA	NA	NA	NA	NA	NA	Control	Congruent first	38.4	35.4	-3
14369569	883.625	750.25	327.7613111	0.406927223	Male	Neutral	white	us	35	-0.39	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	42	49	-5	1	-10	1	24	-1	-19	-2	NA	NA	NA	NA	NA	NA	Control	Incongruent first	5.8	10.2	4.4
14369594	736.6	977.6	295.4885506	-0.815598437	Male	Strongly liberal	white	us	48	0.78	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	73	45	-1	-2	-1	0	-2	0	-18	-25	NA	NA	NA	NA	NA	NA	Control	Incongruent first	13.8	0	-13.8
14369623	914.5	1298.225	675.4830479	0.568074952	Female	Moderately liberal	white	us	59	-0.57	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	-1	3	93	95	98	98	97	98	98	98	"white were bad people and criminals, and black were liked individuals"	no	1	1	2	3	Experimental	Congruent first	76.6	78.8	2.2
14369626	707.1	830.125	361.5631497	0.34025868	Female	Strongly liberal	white	us	31	-0.33	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	35	-30	1	81	75	76	54	-61	-77	-39	NA	NA	NA	NA	NA	NA	Control	Congruent first	53.6	-30.6	-84.2
14369631	1302.475	1241.075	668.7064402	0.091819065	Female	Slightly conservative	white	us	56	-0.09	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	85	100	-16	-3	-20	-47	0	-3	-56	-2	NA	NA	NA	NA	NA	NA	Control	Incongruent first	-0.2	7.8	8
14369637	1221.95	1122.85	518.9187298	-0.190974028	Female	Moderately liberal	white	us	42	0.18	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	40	47	41	-1	3	44	29	0	1	0	They were criminals.	They were black.	1	1	2	2	Experimental	Congruent first	25.4	15.4	-10
14369658	1946.5	1647.75	1276.448974	0.234047742	Male	Moderately conservative	white	us	65	-0.23	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	7	-6	-2	0	-2	-1	0	-3	-1	0	yes the black Americans were all famous for good things they did and the white Americans were all famous for bad things they did.	yes I just answered that	1	1	2	2	Experimental	Incongruent first	0.4	-2	-2.4
14369701	986.75	884.425	342.6007638	-0.298671255	Female	Strongly liberal	white	us	36	0.3	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	67	64	0	-1	1	50	0	0	0	44	They were men and the white men were criminals and the black men stars or a hero	unsure	1	1	2	3	Experimental	Congruent first	23.4	21.6	-1.8
14369785	797.3	770.725	209.5012458	0.126848888	Female	Neutral	white	us	42	-0.13	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	0	-3	2	1	0	1	0	0	-1	1	There were no black criminals.  The criminals were all white.	"For this test, I did notice all positive, admired individuals were black and all of the disliked were white."	1	1	2	2	Experimental	Incongruent first	0.8	-0.6	-1.4
14369940	1349.525	1427.275	758.1798758	-0.102548224	Female	NA	white	us	43	0.1	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	65	62	88	88	84	94	85	84	83	84	The white males were criminals and the blacks were positive influences in America	They are not criminals	1	1	2	3	Experimental	Incongruent first	83.8	79.6	-4.2
14369947	952.45	1042.475	465.1357756	-0.193545637	Female	Moderately liberal	white	us	38	0.19	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	44	51	2	0	1	0	3	1	-1	-2	Most or all were criminals - associated with negativity.	NA	1	1	2	2	Experimental	Incongruent first	9.4	10.4	1
14369985	1128.1	1001	408.7874599	0.310919518	Female	Slightly conservative	white	us	48	-0.3	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	38	35	-2	0	0	1	48	0	0	-1	NA	NA	NA	NA	NA	NA	Control	Incongruent first	7.4	16.4	9
14370011	1004.65	757.6	359.9817638	0.686284765	Female	Moderately liberal	white	us	25	-0.68	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	23	29	98	100	1	0	100	1	0	1	NA	NA	NA	NA	NA	NA	Control	Incongruent first	44.4	26.2	-18.2
14370035	723.225	716.45	178.8275772	0.037885656	Female	Moderately liberal	white	us	40	-0.04	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	2	-4	-2	1	-1	-2	1	-1	-1	0	"the white ones did bad things, the black ones did good things"	black admired people were entertainers	1	1	2	3	Experimental	Incongruent first	-0.4	-1	-0.6
14370040	1104.025	728.425	640.1085148	0.58677551	Female	Strongly liberal	white	us	43	-0.58	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	53	-17	28	22	27	20	18	-1	16	-20	"The white Americans were mostly bad, the black Americans were mostly beloved."	"The generally admired were black, the generally disliked were white."	1	1	2	2	Experimental	Incongruent first	30	-0.8	-30.8
14370089	1540.075	2018.605263	1023.471332	0.467556099	Male	Strongly liberal	white	us	77	-0.46	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	81	84	84	85	86	92	1	50	74	79	no	white were disliked	1	1	2	3	Experimental	Congruent first	85.6	57.6	-28
14370285	988.3589744	1308.1	1109.349538	0.288223878	Female	Moderately conservative	white	us	19	-0.27	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	92	92	94	95	92	94	96	95	96	100	NA	NA	NA	NA	NA	NA	Control	Congruent first	93.4	95.8	2.4
14370302	1024.65	1106.35	668.8326502	0.122153128	Female	Neutral	white	us	40	-0.12	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	99	99	98	61	0	68	100	51	49	48	No	NA	1	1	2	3	Experimental	Congruent first	65.2	69.4	4.2
14370323	878.925	822.525	313.0180961	0.180181276	Female	Slightly liberal	white	us	40	-0.14	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	75	34	50	17	-2	32	13	-7	2	-2	NA	NA	NA	NA	NA	NA	Control	Incongruent first	34.4	8	-26.4
14370345	867.325	745.825	125.1846004	-0.970566664	Male	Moderately liberal	white	us	37	0.96	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	-1	1	-1	0	-1	-2	0	-1	-1	0	"Largely, the white individuals were noteworthy criminals; the black individuals were celebrated diplomats, artists, athletes, and entertainers."	I will have to ponder this question more.	1	1	2	2	Experimental	Congruent first	-1	-0.2	0.8
14370396	922.275	708.95	311.6088709	0.684592192	Female	Moderately conservative	white	us	58	-0.68	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	1	1	0	0	0	-1	-1	0	-1	1	NA	NA	NA	NA	NA	NA	Control	Incongruent first	0	0	0
14370465	1279.75	1834.425	1302.428746	0.425877425	Female	Moderately liberal	white	us	66	-0.42	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Experimental	Congruent first	NA	NA	NA
14370586	732.65	664.325	308.600967	0.221402417	Female	Slightly liberal	white	us	20	-0.22	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	-2	-6	11	-1	0	13	16	-1	-3	-61	no	no	2	4	2	3	Experimental	Incongruent first	4.2	-11	-15.2
14370589	747.2	828.95	315.1307856	0.259416102	Female	Moderately liberal	white	us	35	-0.25	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	2	28	19	1	1	2	4	5	4	3	"criminals and the like, famous for doing bad things"	i noticed all black ones were admired and that many white ones were disliked; i did not notice if all white ones were disliked or just some	1	1	2	2	Experimental	Congruent first	5	8.8	3.8
14370615	1120.05	1057.6	628.6851414	0.099334302	Female	Slightly conservative	white	us	57	-0.1	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	2	1	-1	1	0	-2	0	1	0	-1	NA	NA	NA	NA	NA	NA	Control	Incongruent first	0	0.2	0.2
14370630	1313.4	1288.325	635.3011992	0.039469467	Male	Moderately liberal	white	us	74	-0.04	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	40	45	-1	0	0	0	0	-2	0	0	"They were all very well known people and I have seen all of them on television.  Some died before I was born and others, IIRC, are all alive."	The disliked people were major criminals.  The liked people were mostly athletes and movie entertainers and Colin Powell is my favorite five star general.  MLK and Jesse Jackson were and/or are major civil rightts figures.	1	4	4	3	Experimental	Incongruent first	7.8	8.6	0.8
14370666	916.625	848.025	444.3386431	0.154386752	Male	Moderately conservative	white	us	44	-0.13	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	4	2	-1	0	0	-1	0	0	-1	-1	All of the people were men and the white men were criminals and the black men were positive celebrities	The admired were black men and the disliked were white men	1	1	2	2	Experimental	Incongruent first	0.4	0	-0.4
14370667	1047.1	1183.375	500.0234233	-0.272537233	Female	Moderately liberal	white	us	51	0.25	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	5	2	80	75	-1	64	86	1	-1	2	Yes! All of the black Americans were positive roll models with good careers. All of the white Americans were criminals.	No.	1	1	2	2	Experimental	Incongruent first	44.6	18	-26.6
14370676	1963.025641	2248.923077	1780.632216	0.16055951	Male	Neutral	white	us	56	-0.16	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	6	6	0	0	-1	1	1	2	1	0	NA	NA	NA	NA	NA	NA	Control	Congruent first	1.2	2	0.8
14370712	1372.589744	1318.025	1198.332532	-0.045533892	Female	Moderately liberal	white	us	37	0.04	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	30	3	98	17	-2	-1	98	23	0	-16	NA	NA	NA	NA	NA	NA	Control	Congruent first	28.4	21.6	-6.8
14370738	853.3	989.7179487	473.8751604	0.287877399	Female	Moderately liberal	white	us	12	-0.22	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	65	40	85	98	98	96	-28	48	40	1	NA	NA	NA	NA	NA	NA	Control	Congruent first	88.4	20.2	-68.2
14370761	2644.128205	1979.825	941.2443067	-0.705771286	Male	Moderately liberal	white	us	22	0.69	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	63	40	57	67	63	65	53	44	49	52	NA	NA	NA	NA	NA	NA	Control	Congruent first	63	47.6	-15.4
14370858	956.9	781.35	405.8938371	0.432502255	Female	Strongly liberal	white	us	44	-0.43	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	2	0	0	0	0	-1	-3	-2	2	1	they were bad people	no	1	1	2	2	Experimental	Incongruent first	0.2	-0.4	-0.6
14371000	1347.125	1446.625	1160.060347	-0.0857714	Male	Strongly liberal	white	us	21	0.08	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	75	73	56	81	84	65	66	72	70	70	The white individuals were criminals and the black individuals were talented entertainers or activists	The black individuals were generally admired and the white individuals were generally disliked	1	1	2	2	Experimental	Incongruent first	72.2	70.2	-2
14371008	1154.125	770.1	483.6425606	0.79402648	Female	Slightly liberal	white	us	68	-0.79	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	1	27	7	16	24	17	0	34	36	25	BAD PEOPLE	MANY ARE BLACK WHO ARE ADMIRED	1	1	2	2	Experimental	Incongruent first	13	24.4	11.4
14371017	1125.05	1285.5	822.1083266	-0.195168927	Female	Neutral	white	us	25	0.2	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	-2	-5	99	100	3	1	99	-1	1	1	"They were all men and they were either famous, criminals, or both"	The famous individuals that were admired were those that were working towards change	1	1	2	2	Experimental	Incongruent first	40.2	19	-21.2
14371366	799.675	1253.025	537.1240599	0.844032196	Female	Slightly conservative	white	us	58	-0.83	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	42	34	98	96	97	96	1	98	49	48	they were all criminals	the favorable individuals were black	1	1	2	1	Experimental	Congruent first	85.8	46	-39.8
14371906	1134.675	852.975	593.9991428	-0.474243109	Female	Strongly liberal	white	us	63	0.47	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	74	73	63	61	56	56	61	66	62	62	"No, but I am the most unobservant person I know."	The ones who were famous and admired seemed to be Black and those disliked were white?	1	1	2	3	Experimental	Congruent first	62	64.8	2.8
14371917	740.725	793.85	497.0111731	-0.106888945	Female	Neutral	white	us	35	0.15	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	97	99	98	98	98	97	100	99	97	98	NA	NA	NA	NA	NA	NA	Control	Incongruent first	97.6	98.6	1
14371980	1041.45	925.3	405.4218423	0.286491718	Female	Neutral	white	us	46	-0.27	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	1	2	-2	-10	-5	-12	1	-2	-11	-1	NA	NA	NA	NA	NA	NA	Control	Incongruent first	-5.6	-2.2	3.4
14372038	1632.55	1286.65	609.6445032	0.567379839	Male	Strongly liberal	white	us	70	-0.51	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	63	63	0	86	-1	0	2	79	0	-1	No	no	1	1	2	3	Experimental	Incongruent first	29.6	28.6	-1
14372071	870.025	766.75	372.3963961	0.277325455	Female	Neutral	white	us	52	-0.28	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	93	89	91	-2	0	94	1	-1	0	1	Most of the whites were mug shots	"Most blacks presented were admired for positive contributions, whites for bad behavior"	1	1	2	3	Experimental	Incongruent first	55.2	18	-37.2
14372104	633.1	919.375	470.3899606	-0.608590795	Male	Moderately liberal	white	us	36	0.58	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	-2	1	20	18	16	10	1	14	14	12	NA	NA	NA	NA	NA	NA	Control	Incongruent first	12.4	8.4	-4
14372308	760.775	1059.875	672.0497603	0.44505633	Female	Moderately liberal	white	us	29	-0.44	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	-1	1	5	12	12	3	4	4	1	-3	They were all unpleasant people	the famous african americans were admired leaders	1	1	2	3	Experimental	Congruent first	6.2	1.4	-4.8
14372365	1401.65	1373.175	778.3317553	0.036584657	Female	Moderately conservative	white	us	56	-0.03	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	15	21	-2	-2	0	-2	-1	-3	-1	-1	"They were entertainers and famous.  There were a mixture of occupations from basketball player, to Hollywood star, to involved with the government"	"The ones who I disliked were the criminals, and most of those choices were white and well-known"	1	1	2	2	Experimental	Incongruent first	1.8	3	1.2
14372380	770.775	1187.825	514.1997445	0.811066136	Male	Moderately liberal	white	us	27	-0.8	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	100	93	99	100	84	100	91	86	55	84	NA	NA	NA	NA	NA	NA	Control	Congruent first	96.6	81.8	-14.8
